record_id,source_path,skipped,skip_reason,detector,collapse_role,total_hours_used,basal_start,basal_end,search_start,search_end,refractory_h,n_symbols,basal_idx_start,basal_idx_end,L,theta_delta_S,theta_R,basal_mode,basal_q,mad_kappa,hop,n_episodes,search_hours,first_alarm_hr,alarmed,far_per_24h,error
19093,nsrdb_19093_clean.npz,False,,R1_hop,none,11.999776475694444,0.25,2.0,2.0,11.999776475694444,0.5,46690,996,8275,50,0.08,3,mean_delta,,,25,10.0,9.999776475694444,4.610049913194445,1.0,24.00053647032475,
19093,nsrdb_19093_clean.npz,False,,R2_basal_q90,none,11.999776475694444,0.25,2.0,2.0,11.999776475694444,0.5,46690,996,8275,50,,5,percentile,90.0,,1,19.0,9.999776475694444,2.08173828125,1.0,45.60101929361702,
19093,nsrdb_19093_clean.npz,False,,R3_basal_mad,none,11.999776475694444,0.25,2.0,2.0,11.999776475694444,0.5,46690,996,8275,50,,5,mad,,2.5,1,15.0,9.999776475694444,2.588190104166667,1.0,36.00080470548713,
19093,nsrdb_19093_clean.npz,False,,R4_combo,none,11.999776475694444,0.25,2.0,2.0,11.999776475694444,0.5,46690,996,8275,50,,3,percentile,90.0,,25,12.0,9.999776475694444,2.0894466145833333,1.0,28.800643764389697,
19093,nsrdb_19093_clean.npz,False,,R5_combo_Ls100,none,11.999776475694444,0.25,2.0,2.0,11.999776475694444,0.5,46690,996,8275,100,,3,percentile,90.0,,50,10.0,9.999776475694444,4.54115234375,1.0,24.00053647032475,
19140,nsrdb_19140_clean.npz,False,,R0_I0_ref,none,11.999954427083333,0.25,2.0,2.0,11.999954427083333,0.5,61254,1356,10419,50,0.08,5,mean_delta,,,1,17.0,9.999954427083333,2.0513758680555556,1.0,40.80018593834738,
19140,nsrdb_19140_clean.npz,False,,R1_hop,none,11.999954427083333,0.25,2.0,2.0,11.999954427083333,0.5,61254,1356,10419,50,0.08,3,mean_delta,,,25,5.0,9.999954427083333,2.2318294270833334,1.0,12.000054687749227,
19140,nsrdb_19140_clean.npz,False,,R2_basal_q90,none,11.999954427083333,0.25,2.0,2.0,11.999954427083333,0.5,61254,1356,10419,50,,5,percentile,90.0,,1,19.0,9.999954427083333,2.0160698784722224,1.0,45.60020781344707,
19140,nsrdb_19140_clean.npz,False,,R3_basal_mad,none,11.999954427083333,0.25,2.0,2.0,11.999954427083333,0.5,61254,1356,10419,50,,5,mad,,2.5,1,12.0,9.999954427083333,2.3718967013888888,1.0,28.80013125059815,
19140,nsrdb_19140_clean.npz,False,,R4_combo,none,11.999954427083333,0.25,2.0,2.0,11.999954427083333,0.5,61254,1356,10419,50,,3,percentile,90.0,,25,8.0,9.999954427083333,2.2318294270833334,1.0,19.200087500398766,
19140,nsrdb_19140_clean.npz,False,,R5_combo_Ls100,none,11.999954427083333,0.25,2.0,2.0,11.999954427083333,0.5,61254,1356,10419,100,,3,percentile,90.0,,50,4.0,9.999954427083333,2.3876692708333334,1.0,9.600043750199383,
19830,nsrdb_19830_clean.npz,False,,R0_I0_ref,none,11.99998046875,0.25,2.0,2.0,11.99998046875,0.5,70175,1552,13436,50,0.08,5,mean_delta,,,1,16.0,9.99998046875,2.1106380208333335,1.0,38.40007500014649,
19830,nsrdb_19830_clean.npz,False,,R1_hop,none,11.99998046875,0.25,2.0,2.0,11.99998046875,0.5,70175,1552,13436,50,0.08,3,mean_delta,,,25,0.0,9.99998046875,nan,0.0,0.0,
19830,nsrdb_19830_clean.npz,False,,R2_basal_q90,none,11.99998046875,0.25,2.0,2.0,11.99998046875,0.5,70175,1552,13436,50,,5,percentile,90.0,,1,19.0,9.99998046875,2.0444466145833333,1.0,45.60008906267395,
19830,nsrdb_19830_clean.npz,False,,R3_basal_mad,none,11.99998046875,0.25,2.0,2.0,11.99998046875,0.5,70175,1552,13436,50,,5,mad,,2.5,1,9.0,9.99998046875,3.342456597222222,1.0,21.6000421875824,
19830,nsrdb_19830_clean.npz,False,,R4_combo,none,11.99998046875,0.25,2.0,2.0,11.99998046875,0.5,70175,1552,13436,50,,3,percentile,90.0,,25,3.0,9.99998046875,3.1436414930555556,1.0,7.200014062527466,
19830,nsrdb_19830_clean.npz,False,,R5_combo_Ls100,none,11.99998046875,0.25,2.0,2.0,11.99998046875,0.5,70175,1552,13436,100,,3,percentile,90.0,,50,1.0,9.99998046875,8.949583333333333,1.0,2.4000046875091554,
