source,record,event_label,duration_stratum,event_hr,basal_start,basal_end,approach_start,approach_end,path,detector,collapse_role,L,theta_delta_S,theta_R,basal_mode,basal_q,mad_kappa,hop,n_symbols,basal_idx_start,basal_idx_end,search_start_idx,search_end_idx,alarmed,lead_time_h,detection_hr,first_alarm_idx,n_alarm_samples_search,n_core_alarm_samples_search,mean_S_approach,mean_D_approach,frac_low_div_approach,frac_high_syn_approach,error
sddb,51,SDDB,holter_analytic,22.973055555555554,12.973055555555554,15.973055555555554,19.973055555555554,22.973055555555554,rr_51_clean.npz,R5_combo_Ls100,none,100,,3,percentile,90.0,,50,77929,40699,49980,49980,73939,0,nan,nan,,0,0,0.35716757995137466,0.6687524676350187,0.0,0.001963717972694969,
sddb,44,SDDB,holter_analytic,19.645833333333332,9.645833333333332,12.645833333333332,16.645833333333332,19.645833333333332,rr_44_clean.npz,R0_I0_ref,none,50,0.08,5,mean_delta,,,1,118665,46076,61807,61807,98706,1,6.986450737847221,12.659382595486111,61881,21544,21544,0.5656568601665727,0.3629845325317803,0.5442419688145782,0.6320370718266641,
sddb,44,SDDB,holter_analytic,19.645833333333332,9.645833333333332,12.645833333333332,16.645833333333332,19.645833333333332,rr_44_clean.npz,R1_hop,none,50,0.08,3,mean_delta,,,25,118665,46076,61807,61807,98706,1,6.641471354166665,13.004361979166667,63707,786,786,0.5656568601665727,0.3629845325317803,0.5442419688145782,0.6320370718266641,
sddb,44,SDDB,holter_analytic,19.645833333333332,9.645833333333332,12.645833333333332,16.645833333333332,19.645833333333332,rr_44_clean.npz,R2_basal_q90,none,50,,5,percentile,90.0,,1,118665,46076,61807,61807,98706,1,6.651877170138889,12.993956163194444,63654,16674,16674,0.5656568601665727,0.3629845325317803,0.5442419688145782,0.49232888721898677,
sddb,44,SDDB,holter_analytic,19.645833333333332,9.645833333333332,12.645833333333332,16.645833333333332,19.645833333333332,rr_44_clean.npz,R3_basal_mad,none,50,,5,mad,,2.5,1,118665,46076,61807,61807,98706,1,6.652652994791666,12.993180338541666,63649,18146,18146,0.5656568601665727,0.3629845325317803,0.5442419688145782,0.5294633352119732,
sddb,44,SDDB,holter_analytic,19.645833333333332,9.645833333333332,12.645833333333332,16.645833333333332,19.645833333333332,rr_44_clean.npz,R4_combo,none,50,,3,percentile,90.0,,25,118665,46076,61807,61807,98706,1,6.6117480468749985,13.034085286458334,63857,561,561,0.5656568601665727,0.3629845325317803,0.5442419688145782,0.49232888721898677,
sddb,44,SDDB,holter_analytic,19.645833333333332,9.645833333333332,12.645833333333332,16.645833333333332,19.645833333333332,rr_44_clean.npz,R5_combo_Ls100,none,100,,3,percentile,90.0,,50,118665,46076,61807,61807,98706,1,6.592301432291665,13.053531901041667,63957,324,324,0.5517350992548062,0.43061730714370205,0.3931367023608241,0.5339720708873442,
vfdb,418,VFL,too_short,0.1106933339436849,0.0,0.03320800018310547,0.07748533376057942,0.1106933339436849,vfdb_418_clean.npz,R0_I0_ref,none,50,0.08,5,mean_delta,,,1,4291,0,220,220,741,1,0.07459444681803386,0.03609888712565104,239,1,1,0.5377132743362832,0.43854473942969524,0.0,0.0,
vfdb,418,VFL,too_short,0.1106933339436849,0.0,0.03320800018310547,0.07748533376057942,0.1106933339436849,vfdb_418_clean.npz,R1_hop,none,50,0.08,3,mean_delta,,,25,4291,0,220,220,741,0,nan,nan,,0,0,0.5377132743362832,0.43854473942969524,0.0,0.0,
vfdb,418,VFL,too_short,0.1106933339436849,0.0,0.03320800018310547,0.07748533376057942,0.1106933339436849,vfdb_418_clean.npz,R2_basal_q90,none,50,,5,percentile,90.0,,1,4291,0,220,220,741,0,nan,nan,,0,0,0.5377132743362832,0.43854473942969524,0.0,0.0,
